Number of Hidden Dims,Decrease Rate of Layers' Units,Seed,Pre Filter Count,Loss Filter Count,Node Name,Hidden Dims,Latent Dim,Test Accuracy,Test Precision,Test Recall,Test F0.5-Score,Test F1-Score,Test F2-Score,Test Conf. Matrix,All Data Accuracy,All Data Precision,All Data Recall,All Data F0.5-Score,All Data F1-Score,All Data F2-Score,All Data Conf. Matrix,Post_Test Accuracy,Post_Test Precision,Post_Test Recall,Post_Test F0.5-Score,Post_Test F1-Score,Post_Test F2-Score,Post_Test Conf. Matrix,Post All Data Accuracy,Post All Data Precision,Post All Data Recall,Post All Data F0.5-Score,Post All Data F1-Score,Post All Data F2-Score,Post All Data Conf. Matrix
9,1.1909999999999998,42,460,13,r207n17.gzip,"[386, 324, 272, 228, 191, 160, 134, 112, 94]",80,0.75,0.07,0.75,0.08,0.12,0.25,"[[1680  572]
 [  14   41]]",0.75,0.03,0.79,0.04,0.06,0.13,"[[8558 2867]
 [  23   87]]",0.99,0.9,0.46,0.76,0.61,0.51,"[[2266    2]
 [  21   18]]",1.0,0.75,0.51,0.68,0.6,0.54,"[[11447    13]
 [   37    38]]"
7,1.143,42,460,103,r207n17.gzip,"[402, 351, 307, 268, 234, 204, 178]",158,0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11430    45]
 [   59     1]]",0.41,0.04,1.0,0.05,0.08,0.19,"[[ 879 1365]
 [   0   63]]",0.41,0.02,1.0,0.02,0.03,0.08,"[[4613 6802]
 [   0  120]]"
7,1.15,42,460,6,r207n17.gzip,"[400, 347, 301, 261, 226, 196, 170]",150,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11426    49]
 [   59     1]]",0.92,0.14,0.76,0.16,0.23,0.39,"[[2091  179]
 [   9   28]]",0.92,0.05,0.76,0.07,0.1,0.21,"[[10563   904]
 [   16    52]]"
8,1.162,42,460,121,r207n17.gzip,"[395, 339, 291, 250, 215, 185, 159, 136]",119,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11436    39]
 [   59     1]]",0.91,0.11,0.54,0.13,0.18,0.3,"[[2082  184]
 [  19   22]]",0.91,0.05,0.57,0.06,0.09,0.18,"[[10486   967]
 [   35    47]]"
8,1.101,42,460,100,r207n17.gzip,"[417, 378, 343, 311, 282, 256, 232, 210]",193,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11438    37]
 [   59     1]]",0.94,0.14,0.51,0.17,0.23,0.34,"[[2142  124]
 [  20   21]]",0.94,0.06,0.56,0.08,0.11,0.22,"[[10782   672]
 [   36    45]]"
8,1.147,42,460,52,r207n17.gzip,"[401, 349, 304, 265, 231, 201, 175, 152]",134,0.75,0.06,0.72,0.08,0.12,0.24,"[[1687  566]
 [  15   39]]",0.75,0.03,0.78,0.04,0.06,0.13,"[[8555 2871]
 [  24   85]]",0.96,0.23,0.48,0.26,0.31,0.39,"[[2204   63]
 [  21   19]]",0.96,0.1,0.51,0.11,0.16,0.27,"[[11078   379]
 [   38    40]]"
8,1.127,42,460,73,r207n17.gzip,"[408, 362, 321, 284, 251, 222, 196, 173]",157,0.8,0.08,0.73,0.1,0.15,0.28,"[[1801  451]
 [  15   40]]",0.79,0.04,0.78,0.04,0.07,0.15,"[[9081 2344]
 [  24   86]]",0.97,0.29,0.45,0.31,0.35,0.4,"[[2222   45]
 [  22   18]]",0.97,0.12,0.45,0.14,0.19,0.3,"[[11210   248]
 [   42    35]]"
6,1.108,42,460,29,r207n17.gzip,"[415, 374, 337, 304, 274, 247]",224,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11440    35]
 [   59     1]]",0.98,0.33,0.06,0.18,0.1,0.07,"[[2270    4]
 [  31    2]]",0.99,0.19,0.05,0.12,0.08,0.06,"[[11463    13]
 [   56     3]]"
5,1.136,42,460,40,r207n17.gzip,"[404, 355, 312, 274, 241]",214,0.98,0.0,0.0,,,,"[[2269    5]
 [  33    0]]",0.99,0.03,0.02,0.03,0.02,0.02,"[[11447    28]
 [   59     1]]",0.98,0.12,0.03,0.08,0.05,0.04,"[[2267    7]
 [  32    1]]",0.99,0.1,0.03,0.07,0.05,0.04,"[[11457    19]
 [   57     2]]"
7,1.122,42,460,18,r207n17.gzip,"[409, 364, 324, 288, 256, 228, 203]",183,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.03,0.02,0.02,"[[11442    33]
 [   59     1]]",0.99,0.43,0.09,0.25,0.15,0.11,"[[2270    4]
 [  30    3]]",0.99,0.17,0.12,0.15,0.14,0.13,"[[11441    35]
 [   52     7]]"
7,1.087,42,460,91,r207n17.gzip,"[423, 389, 357, 328, 301, 276, 253]",236,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11434    41]
 [   59     1]]",0.51,0.05,0.93,0.06,0.09,0.2,"[[1128 1118]
 [   4   57]]",0.51,0.02,0.93,0.02,0.04,0.09,"[[5813 5603]
 [   8  111]]"
9,1.167,42,460,133,r207n17.gzip,"[394, 337, 288, 246, 210, 179, 153, 131, 112]",98,0.81,0.08,0.71,0.1,0.15,0.28,"[[1820  432]
 [  16   39]]",0.81,0.04,0.77,0.05,0.07,0.15,"[[9208 2217]
 [  25   85]]",0.92,0.12,0.54,0.14,0.19,0.32,"[[2103  163]
 [  19   22]]",0.92,0.05,0.59,0.06,0.1,0.19,"[[10555   897]
 [   34    49]]"
6,1.381,42,460,294,r207n17.gzip,"[333, 241, 174, 125, 90, 65]",48,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11433    42]
 [   59     1]]",0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11433    42]
 [   59     1]]"
5,1.544,42,460,261,r207n17.gzip,"[297, 192, 124, 80, 51]",34,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11439    36]
 [   59     1]]",0.75,0.05,0.61,0.07,0.1,0.2,"[[1704  552]
 [  20   31]]",0.76,0.02,0.63,0.03,0.04,0.1,"[[8730 2710]
 [  35   60]]"
10,1.209,42,460,166,r207n17.gzip,"[380, 314, 259, 214, 177, 146, 120, 99, 81, 66]",57,0.82,0.09,0.72,0.1,0.15,0.29,"[[1845  409]
 [  15   38]]",0.82,0.04,0.77,0.05,0.07,0.16,"[[9346 2083]
 [  24   82]]",0.9,0.12,0.6,0.14,0.2,0.33,"[[2056  204]
 [  19   28]]",0.9,0.05,0.63,0.06,0.09,0.19,"[[10336  1107]
 [   34    58]]"
7,1.159,42,460,104,r207n17.gzip,"[396, 341, 294, 253, 218, 188, 162]",141,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11434    41]
 [   59     1]]",0.72,0.05,0.69,0.06,0.1,0.2,"[[1626  630]
 [  16   35]]",0.72,0.02,0.69,0.03,0.04,0.09,"[[8285 3155]
 [  29   66]]"
8,1.2329999999999999,42,460,144,r207n17.gzip,"[373, 302, 244, 197, 159, 128, 103, 83]",70,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11434    41]
 [   59     1]]",0.86,0.11,0.7,0.13,0.19,0.33,"[[1937  316]
 [  16   38]]",0.85,0.05,0.75,0.06,0.09,0.18,"[[9740 1689]
 [  26   80]]"
6,1.158,42,460,228,r207n17.gzip,"[397, 342, 295, 254, 219, 189]",165,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11431    44]
 [   59     1]]",0.6,0.05,0.8,0.06,0.09,0.2,"[[1339  909]
 [  12   47]]",0.61,0.02,0.8,0.02,0.04,0.09,"[[6893 4529]
 [  23   90]]"
6,1.262,42,460,274,r207n17.gzip,"[364, 288, 228, 180, 142, 112]",90,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11431    44]
 [   59     1]]",0.73,0.05,0.62,0.06,0.09,0.19,"[[1642  612]
 [  20   33]]",0.74,0.02,0.64,0.03,0.04,0.09,"[[8467 2968]
 [  36   64]]"
7,1.171,42,460,314,r207n17.gzip,"[392, 334, 285, 243, 207, 176, 150]",130,0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11433    42]
 [   59     1]]",0.34,0.04,1.0,0.05,0.08,0.18,"[[ 714 1526]
 [   0   67]]",0.34,0.02,1.0,0.02,0.03,0.08,"[[3792 7611]
 [   0  132]]"
7,1.18,42,460,84,r207n17.gzip,"[389, 329, 278, 235, 199, 168, 142]",122,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11439    36]
 [   59     1]]",0.56,0.05,0.93,0.06,0.1,0.21,"[[1247 1002]
 [   4   54]]",0.56,0.02,0.92,0.03,0.04,0.09,"[[6397 5024]
 [   9  105]]"
8,1.178,42,460,156,r207n17.gzip,"[390, 331, 280, 237, 201, 170, 144, 122]",105,0.76,0.07,0.78,0.09,0.13,0.27,"[[1704  548]
 [  12   43]]",0.76,0.03,0.81,0.04,0.06,0.14,"[[8690 2734]
 [  21   90]]",0.8,0.08,0.75,0.1,0.15,0.29,"[[1811  443]
 [  13   40]]",0.8,0.04,0.79,0.04,0.07,0.15,"[[9148 2280]
 [  22   85]]"
6,1.126,42,460,404,r207n17.gzip,"[408, 362, 321, 285, 253, 224]",200,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11438    37]
 [   59     1]]",0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11438    37]
 [   59     1]]"
9,1.3330000000000002,42,460,327,r207n17.gzip,"[345, 258, 193, 144, 108, 81, 60, 45, 33]",26,0.79,0.08,0.78,0.1,0.15,0.29,"[[1779  473]
 [  12   43]]",0.79,0.03,0.79,0.04,0.07,0.15,"[[9077 2351]
 [  22   85]]",0.79,0.08,0.78,0.1,0.15,0.29,"[[1783  469]
 [  12   43]]",0.79,0.03,0.79,0.04,0.07,0.15,"[[9068 2360]
 [  22   85]]"
9,1.244,42,460,301,r207n17.gzip,"[369, 296, 237, 190, 152, 122, 98, 78, 62]",52,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.03,0.02,0.02,"[[11444    31]
 [   59     1]]",0.75,0.06,0.72,0.08,0.12,0.24,"[[1680  573]
 [  15   39]]",0.75,0.03,0.77,0.03,0.05,0.12,"[[8572 2858]
 [  24   81]]"
5,1.178,42,460,111,r207n17.gzip,"[390, 331, 280, 237, 201]",172,0.98,0.0,0.0,,,,"[[2269    5]
 [  33    0]]",0.99,0.04,0.02,0.03,0.02,0.02,"[[11453    22]
 [   59     1]]",0.78,0.08,0.85,0.1,0.15,0.3,"[[1754  499]
 [   8   46]]",0.78,0.04,0.88,0.04,0.07,0.15,"[[8933 2498]
 [  13   91]]"
6,1.138,42,460,366,r207n17.gzip,"[404, 355, 311, 273, 239, 210]",186,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11437    38]
 [   59     1]]",0.44,0.05,0.97,0.06,0.09,0.19,"[[ 949 1294]
 [   2   62]]",0.44,0.02,0.98,0.02,0.04,0.08,"[[4970 6443]
 [   3  119]]"
7,1.171,42,460,433,r207n17.gzip,"[392, 334, 285, 243, 207, 176, 150]",130,0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11433    42]
 [   59     1]]",0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11433    42]
 [   59     1]]"
8,1.054,42,460,335,r207n17.gzip,"[436, 413, 391, 370, 351, 333, 315, 298]",286,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11440    35]
 [   59     1]]",0.83,0.1,0.75,0.12,0.17,0.32,"[[1866  386]
 [  14   41]]",0.82,0.04,0.79,0.05,0.08,0.17,"[[9401 2027]
 [  23   84]]"
6,1.09,42,460,178,r207n17.gzip,"[422, 387, 355, 325, 298, 273]",252,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11441    34]
 [   59     1]]",0.81,0.06,0.57,0.08,0.11,0.22,"[[1837  421]
 [  21   28]]",0.82,0.03,0.59,0.03,0.05,0.11,"[[9436 2008]
 [  37   54]]"
5,1.189,42,460,54,r207n17.gzip,"[386, 324, 272, 228, 191]",163,0.99,,0.0,,,,"[[2274    0]
 [  33    0]]",0.99,0.25,0.02,0.07,0.03,0.02,"[[11472     3]
 [   59     1]]",0.98,0.17,0.03,0.09,0.05,0.04,"[[2269    5]
 [  32    1]]",0.99,0.1,0.03,0.07,0.05,0.04,"[[11458    18]
 [   57     2]]"
7,1.053,42,460,246,r207n17.gzip,"[436, 414, 393, 373, 354, 336, 319]",305,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11430    45]
 [   59     1]]",0.37,0.04,0.98,0.05,0.08,0.18,"[[ 790 1452]
 [   1   64]]",0.37,0.02,0.99,0.02,0.03,0.08,"[[4105 7301]
 [   1  128]]"
10,1.158,42,460,358,r207n17.gzip,"[397, 342, 295, 254, 219, 189, 163, 140, 120, 103]",92,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.03,0.02,0.02,"[[11444    31]
 [   59     1]]",0.8,0.08,0.72,0.1,0.14,0.28,"[[1799  454]
 [  15   39]]",0.8,0.04,0.78,0.04,0.07,0.15,"[[9159 2269]
 [  24   83]]"
7,1.083,42,460,201,r207n17.gzip,"[424, 391, 361, 333, 307, 283, 261]",243,0.98,0.0,0.0,,,,"[[2272    2]
 [  33    0]]",0.99,0.14,0.02,0.06,0.03,0.02,"[[11469     6]
 [   59     1]]",0.74,0.05,0.64,0.06,0.1,0.2,"[[1673  584]
 [  18   32]]",0.75,0.02,0.66,0.03,0.04,0.09,"[[8597 2844]
 [  32   62]]"
7,1.104,42,460,187,r207n17.gzip,"[416, 376, 340, 307, 278, 251, 227]",209,0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11430    45]
 [   59     1]]",0.71,0.05,0.65,0.06,0.09,0.19,"[[1593  660]
 [  19   35]]",0.72,0.02,0.65,0.02,0.04,0.09,"[[8265 3170]
 [  35   65]]"
6,1.189,42,460,445,r207n17.gzip,"[386, 324, 272, 228, 191, 160]",137,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11429    46]
 [   59     1]]",0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11429    46]
 [   59     1]]"
8,1.127,42,460,64,r207n17.gzip,"[408, 362, 321, 284, 251, 222, 196, 173]",157,0.81,0.08,0.72,0.1,0.15,0.28,"[[1820  433]
 [  15   39]]",0.8,0.04,0.78,0.04,0.07,0.15,"[[9176 2250]
 [  24   85]]",0.97,0.29,0.5,0.32,0.37,0.44,"[[2219   48]
 [  20   20]]",0.97,0.13,0.53,0.16,0.21,0.33,"[[11188   270]
 [   36    41]]"
8,1.215,42,460,252,r207n17.gzip,"[378, 311, 255, 209, 172, 141, 116, 95]",80,0.74,0.07,0.78,0.08,0.12,0.25,"[[1672  581]
 [  12   42]]",0.74,0.03,0.81,0.04,0.06,0.13,"[[8485 2942]
 [  20   88]]",0.77,0.07,0.72,0.08,0.13,0.25,"[[1728  525]
 [  15   39]]",0.77,0.03,0.78,0.04,0.06,0.13,"[[8743 2685]
 [  24   83]]"
9,1.1540000000000001,42,460,289,r207n17.gzip,"[398, 344, 298, 258, 223, 193, 167, 144, 124]",110,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.03,0.02,0.02,"[[11442    33]
 [   59     1]]",0.8,0.09,0.77,0.11,0.16,0.3,"[[1803  448]
 [  13   43]]",0.8,0.04,0.8,0.05,0.07,0.15,"[[9135 2291]
 [  22   87]]"
4,1.208,42,460,21,r207n17.gzip,"[380, 314, 259, 214]",179,0.98,0.25,0.03,0.1,0.05,0.04,"[[2271    3]
 [  32    1]]",0.99,0.2,0.03,0.1,0.06,0.04,"[[11467     8]
 [   58     2]]",0.99,0.53,0.27,0.45,0.36,0.3,"[[2266    8]
 [  24    9]]",0.99,0.29,0.23,0.28,0.26,0.24,"[[11441    34]
 [   46    14]]"
5,1.209,42,460,309,r207n17.gzip,"[380, 314, 259, 214, 177]",147,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11429    46]
 [   59     1]]",0.39,0.04,0.98,0.05,0.08,0.18,"[[ 839 1405]
 [   1   62]]",0.39,0.02,0.99,0.02,0.03,0.08,"[[4426 6989]
 [   1  119]]"
6,1.079,42,460,218,r207n17.gzip,"[426, 394, 365, 338, 313, 290]",270,0.98,0.0,0.0,,,,"[[2272    2]
 [  33    0]]",0.99,0.1,0.02,0.05,0.03,0.02,"[[11466     9]
 [   59     1]]",0.89,0.08,0.43,0.1,0.14,0.23,"[[2032  229]
 [  26   20]]",0.9,0.03,0.44,0.04,0.06,0.12,"[[10346  1108]
 [   45    36]]"
3,1.2409999999999999,42,460,413,r207n17.gzip,"[370, 298, 240]",194,0.99,0.33,0.03,0.11,0.06,0.04,"[[2272    2]
 [  32    1]]",0.99,0.22,0.03,0.1,0.06,0.04,"[[11468     7]
 [   58     2]]",0.99,0.33,0.03,0.11,0.06,0.04,"[[2272    2]
 [  32    1]]",0.99,0.22,0.03,0.1,0.06,0.04,"[[11468     7]
 [   58     2]]"
8,1.167,42,460,77,r207n17.gzip,"[394, 337, 288, 246, 210, 179, 153, 131]",115,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11430    45]
 [   59     1]]",0.69,0.05,0.75,0.06,0.1,0.2,"[[1544  711]
 [  13   39]]",0.69,0.02,0.76,0.02,0.04,0.09,"[[7900 3540]
 [  23   72]]"
7,1.1440000000000001,42,460,124,r207n17.gzip,"[402, 351, 306, 267, 233, 203, 177]",157,0.98,0.0,0.0,,,,"[[2266    8]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11427    48]
 [   59     1]]",0.51,0.05,0.95,0.06,0.09,0.19,"[[1132 1118]
 [   3   54]]",0.51,0.02,0.95,0.02,0.04,0.08,"[[5723 5701]
 [   5  106]]"
5,1.125,42,460,391,r207n17.gzip,"[408, 362, 321, 285, 253]",227,0.98,0.0,0.0,,,,"[[2269    5]
 [  33    0]]",0.99,0.04,0.02,0.03,0.02,0.02,"[[11449    26]
 [   59     1]]",0.71,0.05,0.7,0.07,0.1,0.2,"[[1594  660]
 [  16   37]]",0.72,0.02,0.69,0.03,0.04,0.09,"[[8193 3244]
 [  30   68]]"
6,1.3030000000000002,42,460,320,r207n17.gzip,"[353, 270, 207, 158, 121, 92]",72,0.98,0.0,0.0,,,,"[[2267    7]
 [  33    0]]",0.99,0.02,0.02,0.02,0.02,0.02,"[[11430    45]
 [   59     1]]",0.82,0.06,0.48,0.07,0.1,0.19,"[[1865  394]
 [  25   23]]",0.83,0.02,0.51,0.03,0.04,0.1,"[[9508 1937]
 [  44   46]]"
6,1.3230000000000002,42,460,234,r207n17.gzip,"[347, 262, 198, 149, 112, 84]",65,0.98,0.0,0.0,,,,"[[2268    6]
 [  33    0]]",0.99,0.03,0.02,0.02,0.02,0.02,"[[11437    38]
 [   59     1]]",0.98,0.17,0.03,0.09,0.05,0.04,"[[2268    5]
 [  33    1]]",0.99,0.05,0.03,0.05,0.04,0.04,"[[11437    37]
 [   59     2]]"
